timestamp,purchase,item
2020-01-17 17:23:06,y,cue cards - love actually
2020-01-25 17:09:39,n,NA
2020-01-25 5:22:01,n,NA
2020-01-18 4:33:40,y,t-rex - jurassic park
2020-01-24 17:24:52,n,NA
2020-01-15 5:05:12,n,NA
2020-01-01 3:51:44,n,NA
2020-01-15 3:19:54,n,NA
2020-01-01 18:17:08,n,NA
2020-01-29 17:09:57,n,NA
2019-12-31 21:46:49,n,NA
2020-01-06 13:10:54,n,NA
2020-01-14 0:29:43,n,NA
2020-01-05 4:15:29,n,NA
2020-01-22 5:20:26,n,NA
2020-01-05 19:09:34,n,NA
2020-01-16 20:00:50,n,NA
2020-01-23 17:48:12,n,NA
2020-01-17 16:32:55,y,why so serious - the dark knight
2020-01-05 9:00:24,n,NA
2020-01-20 18:03:28,n,NA
2020-01-17 22:28:32,n,NA
2020-01-23 7:53:16,n,NA
2020-01-09 11:59:31,y,you're gonna need a bigger boat - jaws
2020-01-29 6:06:19,y,"luke, i am your father - starwars episode v"
2020-01-01 4:38:19,n,NA
2020-01-11 12:09:17,n,NA
2020-01-29 23:15:06,n,NA
2020-01-17 19:36:47,n,NA
2020-01-23 23:39:46,n,NA
2020-01-22 0:14:53,n,NA
2020-01-02 13:47:09,n,NA
2020-01-16 11:53:33,n,NA
2020-01-12 23:44:26,n,NA
2020-01-05 3:55:27,n,NA
2020-01-09 20:18:41,n,NA
2020-01-08 9:30:54,n,NA
2020-01-23 10:52:49,n,NA
2020-01-08 2:42:55,n,NA
2020-01-08 20:58:36,n,NA
2020-01-11 8:56:29,n,NA
2020-01-24 18:13:48,n,NA
2020-01-15 23:18:37,n,NA
2020-01-10 11:01:03,n,NA
2020-01-23 19:21:06,n,NA
2020-01-11 2:50:16,n,NA
2020-01-02 15:38:41,y,lava thumbs up - terminator 2
2020-01-17 21:02:49,n,NA
2020-01-20 2:18:41,y,hamilton and burr duel - hamilton
2020-01-13 2:01:49,n,NA
2020-01-20 2:44:13,n,NA
2020-01-19 8:50:46,n,NA
2020-01-03 17:54:11,y,box of chocolates - forest gump
2020-01-08 3:30:23,n,NA
2020-01-25 12:18:28,n,NA
2020-01-27 5:30:36,n,NA
2020-01-27 21:28:13,y,slow motion bullets - the matrix
2020-01-06 21:54:00,n,NA
2020-01-28 11:34:44,n,NA
2020-01-30 14:32:16,y,chest waxing - forty year old virgin
2020-01-12 10:52:53,n,NA
2020-01-17 21:09:24,n,NA
2020-01-13 4:05:46,n,NA
2020-01-27 22:54:01,n,NA
2020-01-25 5:52:06,n,NA
2020-01-07 7:32:28,n,NA
2020-01-05 6:16:18,n,NA
2020-01-27 19:22:26,y,offer he can't refuse - godfather
2020-01-16 18:44:54,n,NA
2020-01-26 20:57:41,n,NA
2020-01-16 22:00:32,n,NA
2020-01-02 4:17:24,n,NA
2020-01-03 3:27:20,n,NA
2020-01-29 21:44:33,n,NA
2020-01-30 17:55:43,n,NA
2020-01-20 15:05:23,y,breaking door with axe - the shining
2020-01-30 13:57:05,n,NA
2020-01-19 20:25:40,n,NA
2020-01-30 5:35:30,n,NA
2020-01-28 16:30:57,n,NA
2020-01-10 16:27:46,y,hello clarice - silence of the lambs
2020-01-17 10:31:59,n,NA
2020-01-05 1:11:22,n,NA
2020-01-16 11:08:46,y,monkeys discovering the monolith - a space odyssey
2020-01-27 8:50:09,n,NA
2020-01-15 16:28:50,n,NA
2020-01-13 1:58:41,y,the cane - citizen kane
2020-01-05 23:07:53,n,NA
2020-01-04 20:52:43,n,NA
2020-01-17 12:30:12,n,NA
2020-01-22 20:40:59,y,food poisoning - bridesmaids
2020-01-29 4:44:23,n,NA
2020-01-03 13:34:55,y,dancing in space - wall-e
2020-01-30 19:03:15,n,NA
2020-01-09 19:55:17,n,NA
2020-01-20 18:17:00,n,NA
2020-01-14 19:41:46,n,NA
2020-01-08 10:06:04,n,NA
2020-01-22 23:46:37,n,NA
2020-01-25 16:30:29,y,piano - big
2020-01-26 16:23:40,n,NA
2020-01-15 11:55:49,n,NA
2020-01-03 19:05:58,n,NA
2020-01-22 12:15:19,n,NA
2020-01-11 18:14:03,n,NA
2020-01-20 18:29:07,n,NA
2020-01-28 13:29:15,n,NA
2020-01-10 21:48:29,n,NA
2020-01-27 0:09:08,n,NA
2020-01-07 6:37:45,n,NA
2020-01-25 9:01:31,n,NA
2020-01-04 8:05:20,y,singing johnny b goode - back to the future
2020-01-26 10:21:46,n,NA
2020-01-25 8:58:43,n,NA
2020-01-30 19:04:56,n,NA
2020-01-20 21:27:54,n,NA
2020-01-07 5:17:52,n,NA
2020-01-16 3:13:26,n,NA
2020-01-20 12:11:33,n,NA
2020-01-09 14:06:52,n,NA
2020-01-04 16:44:46,n,NA
2020-01-31 15:30:36,n,NA
2020-01-19 2:20:25,n,NA
2020-01-03 6:21:19,n,NA
2020-01-10 1:07:36,n,NA
2020-01-20 0:22:37,n,NA
2020-01-23 14:35:44,n,NA
2020-01-11 12:37:12,n,NA
2020-01-10 6:23:30,n,NA
2020-01-13 14:53:26,n,NA
2020-01-06 22:57:58,y,alien bursting from chest - alien
2020-01-05 0:03:22,n,NA
2020-01-01 14:26:41,n,NA
2020-01-17 23:55:57,n,NA
2020-01-08 19:51:18,n,NA
2020-01-08 12:00:30,n,NA
2020-01-17 0:09:31,n,NA
2020-01-10 7:44:11,n,NA
2020-01-19 18:11:42,n,NA
2020-01-10 1:20:21,n,NA
2020-01-02 13:16:35,n,NA
2020-01-26 10:40:05,n,NA
2020-01-02 0:20:30,n,NA
2020-01-29 3:15:27,n,NA
2020-01-02 11:08:50,n,NA
2020-01-07 21:31:38,n,NA
2020-01-29 11:26:55,n,NA
2020-01-31 4:55:04,n,NA
2020-01-27 19:24:49,n,NA
2020-01-24 13:24:52,n,NA
2020-01-09 6:20:02,n,NA
2020-01-17 1:05:08,n,NA
2020-01-25 8:13:53,n,NA
2020-01-29 9:17:49,n,NA
2020-01-07 20:32:06,n,NA
2020-01-13 0:45:31,n,NA
2020-01-21 8:11:51,n,NA
2020-01-04 20:07:35,n,NA
2020-01-01 20:11:32,n,NA
2020-01-19 23:24:20,n,NA
2020-01-11 3:54:07,n,NA
2020-01-18 15:41:11,n,NA
